img,title,company,rating,review,location,experience
https://static.ambitionbox.com/alpha/company/photos/logos/crescendo-global-services.jpg,Data Scientist - Python/ETL/Hadoop (3-6 yrs),Crescendo Global,4.3,117,"Delhi NCR, Gurgaon/Gurugram",3-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/crescendo-global-services.jpg,Data Scientist - Deep Learning/AWS (5-8 yrs),Crescendo Global,4.3,117,Gurgaon/Gurugram,5-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/crescendo-global-services.jpg,Data Scientist - Tableau/SQL/SAS (3-6 yrs),Crescendo Global,4.3,117,"Delhi NCR, Gurgaon/Gurugram",3-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/crescendo-global-services.jpg,Data Scientist - Analytics/Python + Machine Learning - Financial Services  (5-9 yrs),Crescendo Global Services,4.3,117,"Mumbai, Navi Mumbai",5-9 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/crescendo-global-services.jpg,AVP/Senior AVP - Data Scientist/Analytics/Python/Machine Learning/NLP - Consulting Firm (8-12 yrs),Crescendo Global Services,4.3,117,Gurgaon/Gurugram,8-12 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/spinny-283654.jpg,Spinny - Data Scientist - Python/Machine Learning (2-5 yrs),Spinny,3.9,1k,"Delhi Ncr, Greater Noida, Noida
													+2 more",2-5 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/msci.jpg,MSCI - Climate Data Specialist (5-12 yrs),MSCI,4.0,206,Mumbai,5-12 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/citrix_sytems.jpg,Citrix - Principal Data Scientist (12-16 yrs),Citrix,3.7,312,Bengaluru/Bangalore,12-16 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/imind-your-business-solutions.jpg,Principal Data Scientist - SQL/Python (12-14 yrs),iMind Your Business Solutions Private Limited,Not found,Not found,"Bangalore / Bengaluru, Pune, Hyderabad / Secunderabad",12-14 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/tiger_analytics.jpg,Tiger Analytics - Director - Technical AI Data Science - Presales (10-17 yrs),Tiger Analytics,3.5,452,"Bengaluru/Bangalore, Chennai, Hyderabad/Secunderabad",10-17 Yrs
https://static.ambitionbox.com/static/icons/company-placeholder.svg,Data Scientist,RXO,3.7,26,Mumbai,5-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/blackbuck.jpg,Data Scientist,BlackBuck,3.9,2k,"Bengaluru/Bangalore, Gurgaon/Gurugram",3-7 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/evolent-health-international-private-limited.jpg,Data Scientist - Generative AI,Evolent,3.9,255,Pune,2-5 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/amy-business-solutions.jpg,Data Scientist,AI Enterprise,4.1,65,Bengaluru/Bangalore,5-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/scribe-emr.jpg,ScribeEMR Systems - Data Scientist - Machine Learning/NLP (4-8 yrs),Scribe EMR Systems Pvt Ltd,4.1,89,Bengaluru/Bangalore,4-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/kanini-software-solutions.jpg,Data Scientist,KANINI SOFTWARE SOLUTIONS INDIA PRIVATE LIMITED,4.1,184,"Chennai, Pune, Bangalore / Bengaluru
													+2 more",4-7 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/noon.jpg,Noon - Senior Analyst - Business Intelligence  (4-10 yrs),Noon.com,3.9,261,"International/Overseas, Dubai, Middle East",4-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/noon.jpg,Noon - Senior Analyst - Business Intelligence (4-10 yrs),Noon.com,3.9,261,Gurgaon/Gurugram,4-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/oyo_rooms.jpg,OYO Rooms - Senior Business Analyst/Data Scientist (3-8 yrs),OYO Rooms,3.4,3.4k,"Gurgaon/Gurugram, Delhi Ncr",3-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/oyo_rooms.jpg,OYO Rooms - Director - Data Scientist (4-10 yrs),OYO Rooms,3.4,3.4k,"Gurgaon/Gurugram, Delhi NCR, New Delhi
													+2 more",4-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/pine-labs.jpg,Pine Labs - Data Scientist (4-8 yrs),Pine Labs,3.8,1k,Not found,4-8 Yrs
